Type;auto_price;auto_year;auto_owners;auto_guarantee;auto_mileage;auto_engine;auto_transmission;auto_drive_unit;auto_wheel;auto_carcase;auto_color;link
"
        Mazda CX-5 АКПП 2015 с пробегом 133 499 км        ID
                    15905191        
";"
                1 499 000                ₽ ";"
              2015            ";"
                3                владельца              ";"до
                  02.2024                ";"
              133 499 км
            ";"
              2.0 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Красный            ";https://rolf-probeg.ru//spb/cars/mazda/cx-5/15905191/
"
        Lexus IS АКПП 2008 с пробегом 148 558 км        ID
                    16085241        
";"
                1 097 000                ₽ ";"
              2008            ";"
                4                владельца              ";"до
                  01.2024                ";"
              148 558 км
            ";"
              2.5 л /
              208 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Задний            ";Левый;"
              Седан            ";"
              Светло-серо-голубой            ";https://rolf-probeg.ru//spb/cars/lexus/is/16085241/
"
        Infiniti QX80 АКПП 2021 с пробегом 28 022 км        ID
                    16072132        
";"
                6 995 600                ₽ ";"
              2021            ";"
                1                владелец              ";"до
                  02.2024                ";"
              28 022 км
            ";"
              5.6 л /
              405 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Желтый            ";https://rolf-probeg.ru//spb/cars/infiniti/qx80/16072132/
"
        Nissan Qashqai CVT 2016 с пробегом 18 517 км        ID
                    14549428        
";"
                1 568 000                ₽ ";"
              2016            ";"
                1                владелец              ";"до
                  11.2023                ";"
              18 517 км
            ";"
              2.0 л /
              144 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/nissan/qashqai/14549428/
"
        Hyundai i40 АКПП 2015 с пробегом 174 494 км        ID
                    14817855        
";"
                983 000                ₽ ";"
              2015            ";"
                3                владельца              ";"до
                  12.2023                ";"
              174 494 км
            ";"
              2.0 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/hyundai/i40/14817855/
"
        Audi Q3 РКПП 2012 с пробегом 210 188 км        ID
                    16092154        
";"
                1 223 000                ₽ ";"
              2012            ";"
                6                владельцев              ";"до
                  02.2024                ";"
              210 188 км
            ";"
              2.0 л /
              170 л.с. /
              Бензин                          ";"
              Робот            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/audi/q3/16092154/
"
        Kia Cerato АКПП 2007 с пробегом 264 234 км        ID
                    16085296        
";"
                399 995                ₽ ";"
              2007            ";"
                2                владельца              ";"до
                  01.2024                ";"
              264 234 км
            ";"
              1.6 л /
              122 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/kia/cerato/16085296/
"
        Mercedes M-Класс АКПП 2013 с пробегом 75 680 км        ID
                    16089445        
";"
                2 709 000                ₽ ";"
              2013            ";"
                1                владелец              ";"до
                  02.2024                ";"
              75 680 км
            ";"
              3.0 л /
              249 л.с. /
              Дизель                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/mercedes/m-klasse/16089445/
"
        Ford Focus РКПП 2014 с пробегом 174 593 км        ID
                    14171269        
";"
                700 000                ₽ ";"
              2014            ";"
                1                владелец              ";"до
                  01.2024                ";"
              174 593 км
            ";"
              2.0 л /
              150 л.с. /
              Бензин                          ";"
              Робот            ";"
              Передний            ";Левый;"
              Седан            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/ford/focus/14171269/
"
        Ford Focus МКПП 2007 с пробегом 167 426 км        ID
                    12544278        
";"
                395 000                ₽ ";"
              2007            ";"
                4                владельца              ";"до
                  01.2024                ";"
              167 426 км
            ";"
              1.6 л /
              115 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Универсал 5 дв.            ";"
              Темно-синий            ";https://rolf-probeg.ru//spb/cars/ford/focus/12544278/
