Type;auto_price;auto_year;auto_owners;auto_guarantee;auto_mileage;auto_engine;auto_transmission;auto_drive_unit;auto_wheel;auto_carcase;auto_color;link
"Opel CORSA МКПП 2013 с пробегом 84 455 км        ID
                    16142905";649 789                    ₽;2013;1                владелец;;84 455 км;"1.4 л /
              100 л.с. /
              Бензин";Механическая;Передний;Левый;Хэтчбек 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/opel/corsa/16142905/
"Hyundai Palisade АКПП 2020 с пробегом 35 771 км        ID
                    16156926";5 200 000                    ₽;2020;1                владелец;"до
                  12.2023";35 771 км;"3.5 л /
              249 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/hyundai/palisade/16156926/
"Mitsubishi Pajero Sport АКПП 2020 с пробегом 34 км        ID
                    16131089";3 600 000                    ₽;2020;1;"до
                  04.2027";34 км;"3.0 л /
              209 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/mitsubishi/pajero-sport/16131089/
"BMW X3 АКПП 2017 с пробегом 74 372 км        ID
                    14950757";3 870 300                    ₽;2017;1                владелец;"до
                  04.2024";74 372 км;"3.0 л /
              249 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Коричневый;https://rolf-probeg.ru/spb/cars/bmw/x3/14950757/
"BMW X6 АКПП 2016 с пробегом 129 918 км        ID
                    15707522";3 482 300                    ₽;2016;3                владельца;"до
                  03.2024";129 918 км;"3.0 л /
              249 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Красный;https://rolf-probeg.ru/spb/cars/bmw/x6/15707522/
"Porsche Macan РКПП 2015 с пробегом 99 569 км        ID
                    14274824";3 024 000                    ₽;2015;3                владельца;"до
                  03.2024";99 569 км;"3.0 л /
              340 л.с. /
              Бензин";Робот;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/porsche/macan/14274824/
"Mercedes GLC АКПП 2016 с пробегом 68 993 км        ID
                    16131599";2 760 000                    ₽;2016;2                владельца;"до
                  04.2024";68 993 км;"2.1 л /
              204 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/mercedes/glc-klasse/16131599/
"Kia Sorento АКПП 2019 с пробегом 23 832 км        ID
                    15283681";3 262 000                    ₽;2019;2                владельца;"до
                  07.2024";23 832 км;"2.2 л /
              200 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/kia/sorento/15283681/
"BMW X5 АКПП 2015 с пробегом 133 726 км        ID
                    16157198";3 175 000                    ₽;2015;3                владельца;"до
                  06.2024";133 726 км;"3.0 л /
              218 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Коричневый;https://rolf-probeg.ru/spb/cars/bmw/x5/16157198/
"Kia Sportage АКПП 2019 с пробегом 19 200 км        ID
                    16133893";2 260 000                    ₽;2019;1                владелец;"до
                  11.2024";19 200 км;"2.4 л /
              184 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/kia/sportage/16133893/
