brand;Country
mazda;Japan
lexus;Japan
infiniti;Japan
nissan;Japan
hyundai;South_Korea
audi;Germany
kia;South_Korea
mercedes;Germany
ford;USA
volvo;Sweden
land-rover;UK
bmw;Germany
skoda;Czechia
genesis;UK
volkswagen;Germany
jaguar;UK
renault;France
toyota;Japan
peugeot;France
mitsubishi;Japan
chery;China
honda;Japan
cadillac;USA
subaru;Japan
lada--vaz-;Russia
opel;Germany
porsche;Germany
chevrolet;USA
suzuki;Japan
izh;Russia
citroen;France
mini;Germany
jeep;USA
lifan;China
ssangyong;South_Korea
haval;China
seat;Spain
geely;China
fiat;Italy
dodge;USA
uaz;Russia
chrysler;USA
datsun;Japan
pontiac;USA
bentley;UK
dongfeng;China
saab;Sweden
alfa-romeo;Italy
maserati;Italy
smart;China
great-wall;China
hafei;China
gaz;Russia
daewoo;South_Korea
ravon;Uzbekistan
gmc;USA
lincoln;USA
alpina;Germany
hummer;USA
vortex;Russia
acura;Japan
mclaren;UK
vortex;Russia
ram;USA
aston-martin;UK
